admin4Name_en,admin4Name_si,admin4Pcode,risk_level,patients,population
Akkaraipattu 05,අක්කරපත්තු 5,LK5236030,6.110122358,30.55061179,366.6073415
Akkaraipattu 06,අක්කරපත්තු 06,LK5236025,6.136818687,30.68409344,368.2091212
Akkaraipattu 09,අක්කරපත්තු 9,LK5239010,6.163515017,30.81757508,369.810901
Akkaraipattu 10,අක්කරපත්තු 10,LK5236080,6.190211346,30.95105673,371.4126808
Akkaraipattu 11,අක්කරපත්තු 11,LK5236065,6.216907675,31.08453838,373.0144605
Akkaraipattu 12,අක්කරපත්තු 12,LK5236060,6.243604004,31.21802002,374.6162403
Akkaraipattu 13,අක්කරපත්තු 13,LK5236055,6.270300334,31.35150167,376.21802
Akkaraipattu 14,අක්කරපත්තු 14,LK5236050,6.296996663,31.48498331,377.8197998
Akkaraipattu 15,අක්කරපත්තු 15,LK5236045,6.323692992,31.61846496,379.4215795
Akkaraipattu 16,අක්කරපත්තු 16,LK5236040,6.350389321,31.75194661,381.0233593
Akkaraipattu 17,අක්කරපත්තු 17,LK5236100,6.377085651,31.88542825,382.625139
Akkaraipattu 18,අක්කරපත්තු 18,LK5236105,6.40378198,32.0189099,384.2269188
Akkaraipattu 19,අක්කරපත්තු 19,LK5236125,6.430478309,32.15239155,385.8286986
Akkaraipattu 20,අක්කරපත්තු 20,LK5236110,6.457174638,32.28587319,387.4304783
Akkaraipattu 21,අක්කරපත්තු 21,LK5236115,6.483870968,32.41935484,389.0322581
Akkaraipattu 7,අක්කරපත්තු 7,LK5239060,6.510567297,32.55283648,390.6340378
Akkaraipattu 7/1,අක්කරපත්තු 7/1,LK5239025,6.537263626,32.68631813,392.2358176
Akkaraipattu 7/2,අක්කරපත්තු 7/2,LK5239030,6.563959956,32.81979978,393.8375973
Akkaraipattu 7/3,අක්කරපත්තු 7/3,LK5239055,6.590656285,32.95328142,395.4393771
Akkaraipattu 7/4,අක්කරපත්තු 7/4,LK5239050,6.617352614,33.08676307,397.0411568
Akkaraipattu 8,අක්කරපත්තු 8,LK5239065,6.644048943,33.22024472,398.6429366
Akkaraipattu 8/1,අක්කරපත්තු 8/1,LK5239005,6.670745273,33.35372636,400.2447164
Akkaraipattu 8/2,අක්කරපත්තු 8/2,LK5239020,6.697441602,33.48720801,401.8464961
Akkaraipattu 8/3,අක්කරපත්තු 8/3,LK5239015,6.724137931,33.62068966,403.4482759
Akkaramale,අක්කරමලේ,LK1324135,6.75083426,33.7541713,405.0500556
Akkarawatta,අක්කරවත්ත,LK2103035,6.77753059,33.88765295,406.6518354
Akkarayankulam,අක්කරායන්කුලම්,LK4509005,6.804226919,34.02113459,408.2536151
Akmeemana,අක්මීමණ,LK3145090,6.830923248,34.15461624,409.8553949
Akurala,අකුරල,LK3136080,6.857619577,34.28809789,411.4571746
Akurala North,අකුරල උතුර,LK3136085,6.884315907,34.42157953,413.0589544
Akurala South,අකුරල දකුණ,LK3136090,6.911012236,34.55506118,414.6607341
Akuramboda,අකුරම්බොඩ,LK2212100,6.937708565,34.68854283,416.2625139
Akurana,අකුරණ,LK2109120,6.964404894,34.82202447,417.8642937
Akurana,අකුරණ,LK6145050,6.991101224,34.95550612,419.4660734
Akurana,අකුරණ,LK9109030,7.017797553,35.08898776,421.0678532
Akuressa,අකුරැස්ස,LK3218165,7.044493882,35.22246941,422.6696329
Akurugoda,අකුරුගොඩ,LK3227170,7.071190211,35.35595106,424.2714127
Akurugoda East,අකුරුගොඩ නැගෙනහිර,LK3224080,7.097886541,35.4894327,425.8731924
Akurugoda North,අකුරුගොඩ උතුර,LK3224075,7.12458287,35.62291435,427.4749722
Akurugoda South,අකුරුගොඩ දකුණ,LK3224125,7.151279199,35.756396,429.0767519
Akurugoda West,අකුරුගොඩ බටහිර,LK3224130,7.177975528,35.88987764,430.6785317
Akurukaduwa,අකුරුකඩුව,LK8109070,7.204671858,36.02335929,432.2803115
Akwatta,අක්වත්ත,LK9218080,7.231368187,36.15684093,433.8820912
Aladeniya,අලදෙනිය,LK2133095,7.258064516,36.29032258,435.483871
Alagalla,අලගල්ල,LK4306055,7.284760845,36.42380423,437.0856507
Alagalla Ihala,අලගල්ල ඉහළගම,LK2134235,7.311457175,36.55728587,438.6874305
Alagalla Pahalagama,අලගල්ල පහළගම,LK2134230,7.338153504,36.69076752,440.2892102
Alagalla Watta,අලගල්ල වත්ත,LK2136005,7.364849833,36.82424917,441.89099
Alagoda,අලගොඩ,LK2106265,7.391546162,36.95773081,443.4927697
Alagolla,අලගොල්ල,LK8127100,7.418242492,37.09121246,445.0945495
Alagollewa,අලගොල්ලෑව,LK7151185,7.444938821,37.2246941,446.6963293
Alahena,අලහේන,LK5242085,7.47163515,37.35817575,448.298109
Alahenegama,අලහේනේගම,LK6139110,7.498331479,37.4916574,449.8998888
Alahitiyawa,අලහිටියාව,LK6169105,7.525027809,37.62513904,451.5016685
Alakadupitiya,අලකදුපිටිය,LK1324320,7.551724138,37.75862069,453.1034483
Alakoladeniya,අලකොළදෙණිය,LK6154090,7.578420467,37.89210234,454.705228
Alakolaella,අලකොලඇල්ල,LK9115135,7.605116796,38.02558398,456.3070078
Alakolagala,අලකොලගල,LK8119040,7.631813126,38.15906563,457.9087875
Alakolagala,අලකොලගාල,LK8130005,7.658509455,38.29254727,459.5105673
Alakolamada,අලකොලමඩ,LK2230165,7.685205784,38.42602892,461.1123471
Alakolamada,අලකොලමඩ,LK6163115,7.711902113,38.55951057,462.7141268
Alakolamaditta,අලකොලමඩිත්ත,LK2134020,7.738598443,38.69299221,464.3159066
Alakolawewa,අලකොළවැව,LK2309360,7.765294772,38.82647386,465.9176863
Alampil North,අලම්පිල් උතුර,LK4415005,7.791991101,38.95995551,467.5194661
Alampil South,අලම්පිල් දකුණ,LK4415010,7.81868743,39.09343715,469.1212458
Alana,අලාන,LK8209160,7.84538376,39.2269188,470.7230256
Alanduwaka,අලන්දුවක,LK2139050,7.872080089,39.36040044,472.3248053
Alankeni,ආලංකේණි,LK4512005,7.898776418,39.49388209,473.9265851
Alankerny,ආලන්කේණි,LK5324050,7.925472747,39.62736374,475.5283648
Alankudawa,ආලංකුඩාව,LK6203110,7.952169077,39.76084538,477.1301446
Alankulam,ආලන්කුලම්,LK4403005,7.978865406,39.89432703,478.7319244
Alankulama,ආලංකුලම,LK6224055,8.005561735,40.02780868,480.3337041
Alapaladeniya North,අලපලාදෙනිය උතුර,LK3203055,8.032258065,40.16129032,481.9354839
Alapaladeniya South,අලපලාදෙනිය දකුණ,LK3203050,8.058954394,40.29477197,483.5372636
Alapalawala,අලපලාවල,LK9212225,8.085650723,40.42825362,485.1390434
Alapalawala East,අලපලාවල නැගෙනහිර,LK2139170,8.112347052,40.56173526,486.7408231
Alapalawala West,අලපලාවල බටහිර,LK2139175,8.139043382,40.69521691,488.3426029
Alaveddy Centre,අලවෙට්ටි මධ්‍යම,LK4112025,8.165739711,40.82869855,489.9443826
Alaveddy East,අලවෙට්ටි නැ‍ගෙනහි,LK4112030,8.19243604,40.9621802,491.5461624
Alaveddy North,අලවෙට්ටි උ‍තුර,LK4112020,8.219132369,41.09566185,493.1479422
Alaveddy South,අලවෙට්ටි දකුණ,LK4112040,8.245828699,41.22914349,494.7497219
Alaveddy West,අලවෙට්ටි බටහිර,LK4112045,8.272525028,41.36262514,496.3515017
Alawakumbura,අලවාකුඹුර,LK7212235,8.299221357,41.49610679,497.9532814
Alawala,අලවල,LK9215160,8.325917686,41.62958843,499.5550612
Alawala North,අලවල උතුර,LK1227415,8.352614016,41.76307008,501.1568409
Alawala South,අලවල දකුණ,LK1227425,8.379310345,41.89655172,502.7586207
Alawathugirigama,අලවතුගිරිගම,LK2127020,8.406006674,42.03003337,504.3604004
Alawathugoda,අලවතුගොඩ,LK2109025,8.432703003,42.16351502,505.9621802
Alawathugoda,අලවතුගොඩ,LK8130240,8.459399333,42.29699666,507.56396
Alawathupitiya,අලවතුපිටිය,LK1206385,8.486095662,42.43047831,509.1657397
Alawathura,අලවතුර,LK9224030,8.512791991,42.56395996,510.7675195
Alawathuthisgoda,අලවතුකිස්ගොඩ,LK3154195,8.53948832,42.6974416,512.3692992
Alawathuwala,අලවතුවල,LK2233050,8.56618465,42.83092325,513.971079
Alawatta,අලවත්ත,LK2106030,8.592880979,42.96440489,515.5728587
Alawattegama,අලවත්තේගම,LK2103070,8.619577308,43.09788654,517.1746385
Alawattegama,අලවත්තේගම,LK2306325,8.646273637,43.23136819,518.7764182
Alawwa North,අලව්ව උතුර,LK6184200,8.672969967,43.36484983,520.378198
Alawwa South,අලව්ව දකුණ,LK6184195,8.699666296,43.49833148,521.9799778
Alayadivembu,ආලයඩිවෙම්බු,LK5239110,8.726362625,43.63181313,523.5817575
Albion,ඇල්බිඔන්,LK2312340,8.753058954,43.76529477,525.1835373
Aldora,අල්දොර,LK9118045,8.779755284,43.89877642,526.785317
Alexendrawatta,ඇලෙක්සැන්ඩ්‍රාවත,LK1221075,8.806451613,44.03225806,528.3870968
Algama,අල්ගම,LK6166180,8.833147942,44.16573971,529.9888765
Algama,අල්ගම,LK9218310,8.859844271,44.29922136,531.5906563
Algama Ihalagama,අල්ගම ඉහළගම,LK9218305,8.886540601,44.432703,533.192436
Algoda,අල්ගොඩ,LK9230105,8.91323693,44.56618465,534.7942158
Alhilalpura,අල්හිලාල්පුර,LK7209125,8.939933259,44.6996663,536.3959956
Aligambai,අලිගම්බේ,LK5239045,8.966629588,44.83314794,537.9977753
Alim Nagar,ආලිම් නගර්,LK5236005,8.993325918,44.96662959,539.5995551
Alimnagar,ආලීම්නගර්,LK5327085,9.020022247,45.10011123,541.2013348
Alinchipothana,අලංචිපොතාන,LK7210065,9.046718576,45.23359288,542.8031146
Aliolu Ara,අලිඔලු ආර,LK3303055,9.073414905,45.36707453,544.4048943
Alisthana,ආලිස්ථාන,LK7151135,9.100111235,45.50055617,546.0066741
Aliwanguwa,අලිවංගුව,LK2227035,9.126807564,45.63403782,547.6084538
Aliyavalai,ආළියවලෙයි,LK4124070,9.153503893,45.76751947,549.2102336
Aliyawala,අලියාවල,LK2227095,9.180200222,45.90100111,550.8120133
Aliyawatta,අලියාවත්ත,LK8215060,9.206896552,46.03448276,552.4137931
Aliyawetunuwewa,අලියාවැටුණුවැව,LK6103145,9.233592881,46.1679644,554.0155729
Alkaddiveli,අල්කංඩිවේලි,LK4206140,9.26028921,46.30144605,555.6173526
Allainagar East,අල්ලෙයිනගර් නැගෙන,LK5327135,9.286985539,46.4349277,557.2191324
Allainagar West,අල්ලෙයිනගර් බටහිර,LK5327140,9.313681869,46.56840934,558.8209121
Allaipiddy,අල්ලෙයිපිට්ටි,LK4139020,9.340378198,46.70189099,560.4226919
Allarai,අල්ලාරෙයි,LK4130175,9.367074527,46.83537264,562.0244716
Allipalai,අල්ලිප්පලෙයි,LK4503005,9.393770857,46.96885428,563.6262514
Alliyawatta,අල්ලියවත්ත,LK1230115,9.420467186,47.10233593,565.2280311
Alokagama,ආලෝකගම,LK2215135,9.447163515,47.23581758,566.8298109
Alothiyawa,අලෝතියාව,LK1306030,9.473859844,47.36929922,568.4315907
Alpitiya,අල්පිටිය,LK8206090,9.500556174,47.50278087,570.0333704
Alpitiya,අල්පිටිය,LK9142080,9.527252503,47.63626251,571.6351502
Alpitiya,අල්පිටිය,LK9218340,9.553948832,47.76974416,573.2369299
Alubogahalanda,අළුබෝගහලන්ද,LK1321360,9.580645161,47.90322581,574.8387097
Alubomulla East,අළුබෝමුල්ල නැගෙනහ,LK1306075,9.607341491,48.03670745,576.4404894
Alubomulla West,අළුබෝමුල්ල බටහිර,LK1306135,9.63403782,48.1701891,578.0422692
Aludeniya North,අළුදෙණිය උතුර,LK2134010,9.660734149,48.30367075,579.6440489
Aludeniya South,අළුදෙණිය දකුණ,LK2134015,9.687430478,48.43715239,581.2458287
Alugalge,අළුගල්ගේ,LK8206145,9.714126808,48.57063404,582.8476085
Alugolla,අලුගොල්ල,LK2154090,9.740823137,48.70411568,584.4493882
Alugolla,අලුගොල්ල,LK9203025,9.767519466,48.83759733,586.051168
Alugolla,අළුගොල්ල,LK1209060,9.794215795,48.97107898,587.6529477
Alugolla,අළුගොල්ල,LK2209195,9.820912125,49.10456062,589.2547275
Alugolla,අළුගොල්ල,LK8130225,9.847608454,49.23804227,590.8565072
Aluketiyawa,අළුකැටියාව,LK8106060,9.874304783,49.37152392,592.458287
Alupola,අළුපොල,LK9112050,9.901001112,49.50500556,594.0600667
Alupotha,අළුපොත,LK8218070,9.927697442,49.63848721,595.6618465
Alupotha,නිරල්ගම,LK9124100,9.954393771,49.77196885,597.2636263
Alupothdeniya Pahala,අළුපොත්දෙනිය පහළ,LK3324025,9.9810901,49.9054505,598.865406
Aluth Ambalama,අළුත් අම්බලම,LK1115125,10.00778643,50.03893215,600.4671858
Aluth Dambewatana,අළුත් දඹේවටන,LK7160105,10.03448276,50.17241379,602.0689655
Aluth Divulwewa,අලුත්දිවුල්වැව,LK7127090,10.06117909,50.30589544,603.6707453
Aluth Eluwankulama,අළුත් එළුවන්කුලම,LK6206020,10.08787542,50.43937709,605.272525
Aluth Galkiriyagama,අලුත් ගල්කිරියාගම,LK7166065,10.11457175,50.57285873,606.8743048
Aluth Kadadugama,අලුත් කඩාඩුගම,LK7166085,10.14126808,50.70634038,608.4760845
Aluth Pallekele,අලුත්පල්ලේකැලේ,LK2127390,10.1679644,50.83982202,610.0778643
Aluth Punchikulama,අලුත් පුංචිකුලම,LK7151080,10.19466073,50.97330367,611.679644
Aluth Thanayamgoda Ihala,අලුත් තානායම්ගොඩ ඉ,LK3124040,10.22135706,51.10678532,613.2814238
Aluth Thanayamgoda Ihala South,අලුත් තානායම්ගොඩ‍,LK3124035,10.24805339,51.24026696,614.8832036
Aluth Thanayamgoda Pahala,අලුත් තානායම්ගොඩ ප,LK3124030,10.27474972,51.37374861,616.4849833
Aluth Thanayamgoda Pahala West,අලුත් තානායම්ගොඩ ප,LK3124020,10.30144605,51.50723026,618.0867631
Aluth Weediya,ගල්බොක්ක බටහිර,LK3239060,10.32814238,51.6407119,619.6885428
Aluthepola East,අලුතැපොල නැගෙනහිර,LK1209615,10.35483871,51.77419355,621.2903226
Aluthepola West,අලුතැපොල බටහිර,LK1209515,10.38153504,51.90767519,622.8921023
Aluthgama,අලුත්ගම,LK2212015,10.40823137,52.04115684,624.4938821
Aluthgama,අලුත්ගම,LK2215200,10.4349277,52.17463849,626.0956618
Aluthgama,අලුත්ගම,LK6209055,10.46162403,52.30812013,627.6974416
Aluthgama,අලුත්ගම,LK7115020,10.48832036,52.44160178,629.2992214
Aluthgama,අළුත්ගම,LK1306025,10.51501669,52.57508343,630.9010011
Aluthgama,අළුත්ගම,LK2112055,10.54171301,52.70856507,632.5027809
Aluthgama,අළුත්ගම,LK2157095,10.56840934,52.84204672,634.1045606
Aluthgama,අළුත්ගම,LK6115045,10.59510567,52.97552836,635.7063404
Aluthgama,අළුත්ගම,LK6133050,10.621802,53.10901001,637.3081201
Aluthgama,අළුත්ගම,LK6142145,10.64849833,53.24249166,638.9098999
Aluthgama Bogamuwa North,අළුත්ගම බෝගමුව උතු,LK1224095,10.67519466,53.3759733,640.5116796
Aluthgama Bogamuwa South,අළුත්ගම බෝගමුව දකු,LK1224100,10.70189099,53.50945495,642.1134594
Aluthgama East,අළුත්ගම නැගෙනහිර,LK1324405,10.72858732,53.6429366,643.7152392
Aluthgama Ihala,ඉහළ අළුත්ගම,LK2134285,10.75528365,53.77641824,645.3170189
Aluthgama North,අලුත්ගම උතුර,LK2215195,10.78197998,53.90989989,646.9187987
Aluthgama Pahala,පහළ අළුත්ගම,LK2134280,10.80867631,54.04338154,648.5205784
Aluthgama West,අළුත්ගම බටහිර,LK1324410,10.83537264,54.17686318,650.1223582
Aluthgamgoda,අළුත් ගම්ගොඩ,LK1330100,10.86206897,54.31034483,651.7241379
Aluthgoda,අළුත්ගොඩ,LK3333105,10.88876529,54.44382647,653.3259177
Aluthherathgama,අළුත් හේරත්ගම,LK6106205,10.91546162,54.57730812,654.9276974
Aluthkade East,අලුත්කඩේ නැගෙනහිර,LK1103100,10.94215795,54.71078977,656.5294772
Aluthkade West,අලුත්කඩේ බටහිර,LK1103105,10.96885428,54.84427141,658.131257
Aluthkanda,අළුත්කන්ද,LK2139220,10.99555061,54.97775306,659.7330367
Aluthmawatha,අලුත් මාවත,LK1103030,11.02224694,55.11123471,661.3348165
Aluthnuwara,අලුත්නුවර,LK9115185,11.04894327,55.24471635,662.9365962
Aluthnuwara,අලුත්නුවර,LK9206200,11.0756396,55.378198,664.538376
Aluthoya,අලුත්ඔය,LK7212200,11.10233593,55.51167964,666.1401557
Aluthwala,අලුත්වල,LK3134030,11.12903226,55.64516129,667.7419355
Aluthwatta,අලුත්වත්ත,LK3124240,11.15572859,55.77864294,669.3437152
Aluthwatta,අළුත්වත්ත,LK2221150,11.18242492,55.91212458,670.945495
Aluthwatta,අළුත්වත්ත,LK6233090,11.20912125,56.04560623,672.5472747
